Date,Description,Category,Amount
10/3/2016,#2559 Paid Check,salary,-2000
10/26/2016,#2560 Paid Check,salary,-2000
10/26/2016,#2561 Paid Check,reimbursment-rent,-850
10/3/2016,#2564 Paid Check,reimbursment-rent,-850
11/17/2016,#2565 Paid Check,medical,-100
11/17/2016,#2566 Paid Check,medical,-50
11/23/2016,#2567 Paid Check,medical,-30
11/25/2016,"ACH deposit ADVANCE DIGITAL  DIRECT DEP VICES INC,MART COMPU   ...3836546RJ",deposit-ADS,5940.8
11/10/2016,"ACH deposit ADVANCE DIGITAL  DIRECT DEP VICES INC,MART COMPU   ...7780986RJ",deposit-ADS,23169.12
10/28/2016,ACH Withdrawal AMERICAN EXPRESS ONLINE PMT MART COMPUTER SERVICES CKFPOS,business expences-AMEX,-2100
11/15/2016,ACH Withdrawal AMERICAN EXPRESS ONLINE PMT MART COMPUTER SERVICES CKFPOS,business expences-AMEX,-8288.5
11/29/2016,ACH Withdrawal AMERICAN EXPRESS ONLINE PMT MART COMPUTER SERVICES CKFPOS,business expences-AMEX,-365.75
10/13/2016,ACH Withdrawal NYS DOL UI       Tax Paymnt U...50490           ...2579,payroll-NYS,-243.61
10/13/2016,ACH Withdrawal NYS DTF WT       Tax Paymnt W...50490           ...4462,payroll-NYS,-537.27
11/14/2016,ACH Withdrawal STUDEBAKER SUBME ONLINE PMT MART COMPUTER SERVICES CKFPOS,utilities-rent,-212.62
10/5/2016,ACH Withdrawal VANGUARD GROUP   RETIRE PLN MART COMPUTER SERVICES RB546W,retirement-401K,-9000
10/28/2016,ACH Withdrawal VANGUARD GROUP   RETIRE PLN MART COMPUTER SERVICES RB546WA10066703,retirement-401K,-3000
11/18/2016,ACH Withdrawal VANGUARD GROUP   RETIRE PLN MART COMPUTER SERVICES RB546WA20883663,retirement-401K,-3000
11/18/2016,ACH Withdrawal VANGUARD GROUP   RETIRE PLN MART COMPUTER SERVICES RB546WA21261449,retirement-401K,-3000
10/3/2016,Online banking xfer deposit FROM ...6281,internal  transfer-to,3423.95
10/26/2016,Online banking xfer deposit FROM ...6281,internal  transfer-to,2000
11/28/2016,Online banking xfer withdrawal TO ...6281,internal  transfer-to,-8500
