Date,Description,Category,Amount
7/1/2016,#2154 Paid Check,salary,-2000.00
11/10/2015,#2519 Paid Check,reimbursment-rent,-750.00
11/10/2015,#2520 Paid Check,salary,-2000.00
12/7/2015,#2521 Paid Check,consulting services,-1160.00
11/30/2015,#2522 Paid Check,reimbursment-rent,-820.00
12/3/2015,#2523 Paid Check,salary,-2000.00
12/31/2015,#2525 Paid Check,medical,-15.00
12/30/2015,#2526 Paid Check,reimbursments-bustrip-Moscow-Vac-Natasha,-1539.37
12/30/2015,#2527 Paid Check,reimbursment-rent,-820.00
12/30/2015,#2528 Paid Check,reinbursment-2013-14,-1000.00
12/30/2015,#2529 Paid Check,reimbursmet-bustrip-Vanc.,-304.89
1/5/2016,#2530 Paid Check,salary,-2000.00
1/21/2016,#2531 Paid Check,corp-NYS-corp-tax,-73.00
1/21/2016,#2532 Paid Check,corp-NYS-CT4,-381.00
2/4/2016,#2533 Paid Check,corp-NYS-4C,-495.00
1/21/2016,#2534 Paid Check,corp-1120-IRS,-554.00
1/20/2016,#2535 Paid Check,salary-Natasha,-500.00
2/2/2016,#2536 Paid Check,payroll-IRS,-2796.12
2/2/2016,#2537 Paid Check,salary,-2000.00
2/10/2016,#2538 Paid Check,reimbursment-rent,-820.00
2/17/2016,#2539 Paid Check,reinbursment-2013-14,-4500.00
3/1/2016,#2540 Paid Check,salary,-2000.00
3/1/2016,#2541 Paid Check,reimbursment-rent,-820.00
3/31/2016,#2542 Paid Check,salary,-2000.00
3/31/2016,#2543 Paid Check,reimbursment-rent,-820.00
4/26/2016,#2545 Paid Check,payroll-IRS,-2889.75
4/25/2016,#2546 Paid Check,payroll-NYS,-765.42
5/2/2016,#2547 Paid Check,salary,-2000.00
5/2/2016,#2548 Paid Check,reimbursment-rent,-820.00
5/2/2016,#2549 Paid Check,reinbursment-2013-14,-4000.00
6/3/2016,#2550 Paid Check,salary,-2000.00
6/3/2016,#2552 Paid Check,reimbursment-rent,-820.00
6/24/2016,#2553 Paid Check,payroll-IRS,-277.27
6/24/2016,#2554 Paid Check,payroll-IRS,-282.27
6/24/2016,#2555 Paid Check,payroll-IRS,-288.96
7/5/2016,#2556 Paid Check,reimbursment-rent,-820.00
8/1/2016,#2557 Paid Check,reimbursment-rent,-850.00
8/1/2016,#2558 Paid Check,salary,-2000.00
9/6/2016,#2562 Paid Check,reimbursment-rent,-850.00
9/6/2016,#2563 Paid Check,salary,-2000.00
3/10/2016,"ACH deposit ADVANCE DIGITAL  DIRECT DEP VICES INC,MART COMPU   ...0611166RJ",deposit-ADS,5191.20
7/11/2016,"ACH deposit ADVANCE DIGITAL  DIRECT DEP VICES INC,MART COMPU   ...0939636RJ",deposit-ADS,6344.80
6/27/2016,"ACH deposit ADVANCE DIGITAL  DIRECT DEP VICES INC,MART COMPU   ...1777876RJ",deposit-ADS,5768.00
