Date,Description,Amount
9/12/2016,Online banking xfer deposit FROM ...1042,350
8/3/2016,Online banking xfer deposit FROM ...1042,350
7/18/2016,Online banking xfer withdrawal TO ...1042,-4.92
7/18/2016,Online banking xfer withdrawal TO ...1042,-537.27
7/18/2016,Online banking xfer withdrawal TO ...1042,-2889.75
7/11/2016,Online banking xfer deposit FROM ...1042,350
7/11/2016,Online banking xfer deposit FROM ...1042,1300
6/3/2016,Online banking xfer deposit FROM ...1042,350
6/3/2016,Online banking xfer deposit FROM ...1042,1300
5/2/2016,Online banking xfer deposit FROM ...1042,350
5/2/2016,Online banking xfer deposit FROM ...1042,1300
4/20/2016,Online banking xfer withdrawal TO ...1042,-3700
4/5/2016,Online banking xfer deposit FROM ...1042,350
4/5/2016,Online banking xfer deposit FROM ...1042,1300
3/1/2016,Online banking xfer deposit FROM ...1042,350
3/1/2016,Online banking xfer deposit FROM ...1042,1300
12/16/2015,Online banking xfer deposit FROM ...1042,350
11/30/2015,Online banking xfer deposit FROM ...1042,650
11/30/2015,Online banking xfer deposit FROM ...1042,655
11/10/2015,Online banking xfer deposit FROM ...1042,650
11/10/2015,Online banking xfer deposit FROM ...1042,1300
